城市1,城市2,距离(km)
北京,上海,1065
北京,天津,104
北京,重庆,1465
北京,哈尔滨,1055
北京,长春,854
北京,沈阳,621
北京,呼和浩特,408
北京,石家庄,270
北京,太原,406
北京,济南,366
北京,郑州,617
北京,西安,917
北京,兰州,1187
北京,银川,897
北京,西宁,1333
北京,乌鲁木齐,2417
北京,合肥,898
北京,南京,900
北京,杭州,1126
北京,长沙,1341
北京,南昌,1248
北京,武汉,1050
北京,成都,1521
北京,贵阳,1735
北京,福州,1559
北京,台北,1717
北京,广州,1889
北京,海口,2233
北京,南宁,2050
北京,昆明,2086
北京,拉萨,2563
北京,香港,1969
北京,澳门,1987
上海,天津,963
上海,重庆,1445
上海,哈尔滨,1675
上海,长春,1444
上海,沈阳,1191
上海,呼和浩特,1374
上海,石家庄,991
上海,太原,1099
上海,济南,729
上海,郑州,827
上海,西安,1223
上海,兰州,1718
上海,银川,1595
上海,西宁,1913
上海,乌鲁木齐,3269
上海,合肥,402
上海,南京,266
上海,杭州,169
上海,长沙,886
上海,南昌,611
上海,武汉,684
上海,成都,1659
上海,贵阳,1527
上海,福州,611
上海,台北,688
上海,广州,1213
上海,海口,1630
上海,南宁,1603
上海,昆明,1950
上海,拉萨,2902
上海,香港,1230
上海,澳门,1276
天津,重庆,1447
天津,哈尔滨,1069
天津,长春,856
天津,沈阳,604
天津,呼和浩特,495
天津,石家庄,267
天津,太原,426
天津,济南,280
天津,郑州,574
天津,西安,916
天津,兰州,1226
天津,银川,951
天津,西宁,1381
天津,乌鲁木齐,2504
天津,合肥,812
天津,南京,805
天津,杭州,1028
天津,长沙,1279
天津,南昌,1170
天津,武汉,983
天津,成都,1521
天津,贵阳,1703
天津,福州,1466
天津,台北,1620
天津,广州,1819
天津,海口,2173
天津,南宁,2002
天津,昆明,2067
天津,拉萨,2597
天津,香港,1895
天津,澳门,1916
重庆,哈尔滨,2515
重庆,长春,2301
重庆,沈阳,2040
重庆,呼和浩特,1342
重庆,石家庄,1195
重庆,太原,1081
重庆,济南,1253
重庆,郑州,893
重庆,西安,572
重庆,兰州,768
重庆,银川,979
重庆,西宁,906
重庆,乌鲁木齐,2306
重庆,合肥,1061
重庆,南京,1207
重庆,杭州,1314
重庆,长沙,647
重庆,南昌,911
重庆,武汉,762
重庆,成都,266
重庆,贵阳,328
重庆,福州,1312
重庆,台北,1561
重庆,广州,977
重庆,海口,1073
重庆,南宁,770
重庆,昆明,621
重庆,拉萨,1485
重庆,香港,1108
重庆,澳门,1075
哈尔滨,长春,235
哈尔滨,沈阳,509
哈尔滨,呼和浩特,1321
哈尔滨,石家庄,1323
哈尔滨,太原,1458
哈尔滨,济南,1295
哈尔滨,郑州,1637
哈尔滨,西安,1973
哈尔滨,兰州,2192
哈尔滨,银川,1870
哈尔滨,西宁,2306
哈尔滨,乌鲁木齐,3062
哈尔滨,合肥,1743
哈尔滨,南京,1667
哈尔滨,杭州,1816
哈尔滨,长沙,2293
哈尔滨,南昌,2121
哈尔滨,武汉,1993
哈尔滨,成都,2576
哈尔滨,贵阳,2769
哈尔滨,福州,2283
哈尔滨,台北,2347
哈尔滨,广州,2791
哈尔滨,海口,3178
哈尔滨,南宁,3042
哈尔滨,昆明,3136
哈尔滨,拉萨,3558
哈尔滨,香港,2843
哈尔滨,澳门,2876
长春,沈阳,275
长春,呼和浩特,1160
长春,石家庄,1117
长春,太原,1261
长春,济南,1069
长春,郑州,1417
长春,西安,1769
长春,兰州,2020
长春,银川,1706
长春,西宁,2146
长春,乌鲁木齐,2999
长春,合肥,1508
长春,南京,1432
长春,杭州,1583
长春,长沙,2061
长春,南昌,1886
长春,武汉,1761
长春,成都,2373
长春,贵阳,2548
长春,福州,2051
长春,台北,2120
长春,广州,2556
长春,海口,2944
长春,南宁,2812
长春,昆明,2921
长春,拉萨,3394
长春,香港,2608
长春,澳门,2641
沈阳,呼和浩特,974
沈阳,石家庄,870
沈阳,太原,1024
沈阳,济南,798
沈阳,郑州,1151
沈阳,西安,1520
沈阳,兰州,1807
沈阳,银川,1506
沈阳,西宁,1946
沈阳,乌鲁木齐,2905
沈阳,合肥,1235
沈阳,南京,1162
沈阳,杭州,1322
沈阳,长沙,1786
沈阳,南昌,1613
沈阳,武汉,1486
沈阳,成都,2124
沈阳,贵阳,2279
沈阳,福州,1791
沈阳,台北,1874
沈阳,广州,2283
沈阳,海口,2670
沈阳,南宁,2538
沈阳,昆明,2658
沈阳,拉萨,3183
沈阳,香港,2336
沈阳,澳门,2368
呼和浩特,石家庄,385
呼和浩特,太原,335
呼和浩特,济南,648
呼和浩特,郑州,689
呼和浩特,西安,772
呼和浩特,兰州,874
呼和浩特,银川,549
呼和浩特,西宁,987
呼和浩特,乌鲁木齐,2010
呼和浩特,合肥,1112
呼和浩特,南京,1161
呼和浩特,杭州,1397
呼和浩特,长沙,1409
呼和浩特,南昌,1399
呼和浩特,武汉,1157
呼和浩特,成都,1326
呼和浩特,贵阳,1651
呼和浩特,福州,1778
呼和浩特,台北,1971
呼和浩特,广州,1971
呼和浩特,海口,2262
呼和浩特,南宁,2029
呼和浩特,昆明,1944
呼和浩特,拉萨,2238
呼和浩特,香港,2071
呼和浩特,澳门,2077
石家庄,太原,168
石家庄,济南,273
石家庄,郑州,366
石家庄,西安,652
石家庄,兰州,970
石家庄,银川,717
石家庄,西宁,1134
石家庄,乌鲁木齐,2335
石家庄,合肥,734
石家庄,南京,776
石家庄,杭州,1012
石家庄,长沙,1104
石家庄,南昌,1048
石家庄,武汉,825
石家庄,成都,1257
石家庄,贵阳,1466
石家庄,福州,1404
石家庄,台北,1589
石家庄,广州,1661
石家庄,海口,1988
石家庄,南宁,1792
石家庄,昆明,1816
石家庄,拉萨,2336
石家庄,香港,1750
石家庄,澳门,1763
太原,济南,416
太原,郑州,356
太原,西安,518
太原,兰州,803
太原,银川,554
太原,西宁,967
太原,乌鲁木齐,2192
太原,合肥,796
太原,南京,864
太原,杭州,1098
太原,长沙,1077
太原,南昌,1066
太原,武汉,823
太原,成都,1118
太原,贵阳,1370
太原,福州,1455
太原,台北,1657
太原,广州,1640
太原,海口,1942
太原,南宁,1723
太原,昆明,1699
太原,拉萨,2171
太原,香港,1738
太原,澳门,1745
济南,郑州,361
济南,西安,779
济南,兰州,1182
济南,银川,965
济南,西宁,1359
济南,乌鲁木齐,2605
济南,合肥,533
济南,南京,538
济南,杭州,769
济南,长沙,1012
济南,南昌,890
济南,武汉,713
济南,成都,1367
济南,贵阳,1481
济南,福州,1193
济南,台北,1358
济南,广州,1544
济南,海口,1906
济南,南宁,1749
济南,昆明,1866
济南,拉萨,2518
济南,香港,1617
济南,澳门,1639
郑州,西安,444
郑州,兰州,906
郑州,银川,771
郑州,西宁,1097
郑州,乌鲁木齐,2445
郑州,合肥,468
郑州,南京,567
郑州,杭州,789
郑州,长沙,739
郑州,南昌,710
郑州,武汉,469
郑州,成都,1010
郑州,贵阳,1132
郑州,福州,1107
郑州,台北,1319
郑州,广州,1298
郑州,海口,1623
郑州,南宁,1432
郑州,昆明,1507
郑州,拉萨,2190
郑州,香港,1391
郑州,澳门,1401
西安,兰州,503
西安,银川,510
西安,西宁,699
西安,乌鲁木齐,2114
西安,合肥,827
西安,南京,957
西安,杭州,1148
西安,长沙,781
西安,南昌,906
西安,武汉,653
西安,成都,605
西安,贵阳,880
西安,福州,1350
西安,台北,1590
西安,广州,1308
西安,海口,1536
西安,南宁,1276
西安,昆明,1183
西安,拉萨,1747
西安,香港,1426
西安,澳门,1416
兰州,银川,334
兰州,西宁,196
兰州,乌鲁木齐,1625
兰州,合肥,1327
兰州,南京,1452
兰州,杭州,1650
兰州,长沙,1229
兰州,南昌,1395
兰州,武汉,1149
兰州,成都,601
兰州,贵阳,1088
兰州,福州,1841
兰州,台北,2084
兰州,广州,1699
兰州,海口,1840
兰州,南宁,1536
兰州,昆明,1232
兰州,拉萨,1377
兰州,香港,1827
兰州,澳门,1805
银川,西宁,441
银川,乌鲁木齐,1674
银川,合肥,1234
银川,南京,1338
银川,杭州,1559
银川,长沙,1290
银川,南昌,1392
银川,武汉,1133
银川,成都,877
银川,贵阳,1307
银川,福州,1829
银川,台北,2059
银川,广州,1816
银川,海口,2020
银川,南宁,1738
银川,昆明,1517
银川,拉萨,1689
银川,香港,1935
银川,澳门,1924
西宁,乌鲁木齐,1439
西宁,合肥,1523
西宁,南京,1647
西宁,杭州,1846
西宁,长沙,1412
西宁,南昌,1587
西宁,武汉,1343
西宁,成都,699
西宁,贵阳,1211
西宁,福州,2032
西宁,台北,2277
西宁,广州,1863
西宁,海口,1977
西宁,南宁,1663
西宁,昆明,1298
西宁,拉萨,1252
西宁,香港,1992
西宁,澳门,1967
乌鲁木齐,合肥,2906
乌鲁木齐,南京,3012
乌鲁木齐,杭州,3231
乌鲁木齐,长沙,2850
乌鲁木齐,南昌,3018
乌鲁木齐,武汉,2767
乌鲁木齐,成都,2058
乌鲁木齐,贵阳,2571
乌鲁木齐,福州,3463
乌鲁木齐,台北,3704
乌鲁木齐,广州,3282
乌鲁木齐,海口,3336
乌鲁木齐,南宁,3009
乌鲁木齐,昆明,2507
乌鲁木齐,拉萨,1603
乌鲁木齐,香港,3413
乌鲁木齐,澳门,3382
合肥,南京,146
合肥,杭州,326
合肥,长沙,581
合肥,南昌,378
合肥,武汉,312
合肥,成都,1263
合肥,贵阳,1183
合肥,福州,670
合肥,台北,861
合肥,广州,1048
合肥,海口,1439
合肥,南宁,1339
合肥,昆明,1602
合肥,拉萨,2503
合肥,香港,1106
合肥,澳门,1135
南京,杭州,236
南京,长沙,706
南京,南昌,469
南京,武汉,454
南京,成都,1408
南京,贵阳,1322
南京,福州,663
南京,台北,819
南京,广州,1132
南京,海口,1535
南京,南宁,1457
南京,昆明,1743
南京,拉萨,2647
南京,香港,1176
南京,澳门,1212
杭州,长沙,730
杭州,南昌,449
杭州,武汉,558
杭州,成都,1540
杭州,贵阳,1376
杭州,福州,469
杭州,台北,592
杭州,广州,1045
杭州,海口,1462
杭州,南宁,1436
杭州,昆明,1798
杭州,拉萨,2786
杭州,香港,1064
杭州,澳门,1109
长沙,南昌,286
长沙,武汉,301
长沙,成都,906
长沙,贵阳,647
长沙,福州,666
长沙,台北,915
长沙,广州,562
长沙,海口,895
长沙,南宁,760
长沙,昆明,1068
长沙,拉萨,2128
长沙,香港,665
长沙,澳门,668
南昌,武汉,260
南昌,成都,1159
南昌,贵阳,932
南昌,福州,445
南昌,台北,691
南昌,广州,670
南昌,海口,1067
南昌,南宁,998
南昌,昆明,1353
南昌,拉萨,2396
南昌,香港,730
南昌,澳门,757
武汉,成都,982
武汉,贵阳,871
武汉,福州,699
武汉,台北,937
武汉,广州,839
武汉,海口,1193
武汉,南宁,1054
武汉,昆明,1290
武汉,拉萨,2228
武汉,香港,925
武汉,澳门,939
成都,贵阳,519
成都,福州,1571
成都,台北,1821
成都,广州,1234
成都,海口,1289
成都,南宁,969
成都,昆明,640
成都,拉萨,1246
成都,香港,1366
成都,澳门,1330
贵阳,福州,1256
贵阳,台北,1492
贵阳,广州,764
贵阳,海口,770
贵阳,南宁,452
贵阳,昆明,423
贵阳,拉萨,1560
贵阳,香港,893
贵阳,澳门,848
福州,台北,250
福州,广州,694
福州,海口,1105
福州,南宁,1168
福州,昆明,1652
福州,拉萨,2787
福州,香港,669
福州,澳门,726
台北,广州,866
台北,海口,1252
台北,南宁,1363
台北,昆明,1878
台北,拉萨,3032
台北,香港,808
台北,澳门,871
广州,海口,419
广州,南宁,505
广州,昆明,1074
广州,拉萨,2312
广州,香港,132
广州,澳门,108
海口,南宁,328
海口,昆明,914
海口,拉萨,2178
海口,香港,444
海口,澳门,382
南宁,昆明,607
南宁,拉萨,1872
南宁,香港,602
南宁,澳门,540
昆明,拉萨,1266
昆明,香港,1189
昆明,澳门,1132
拉萨,香港,2435
拉萨,澳门,2382
